,Incident,Location,Reported Date,Occured Date,Comments,Disposition,UCPDI#
0,Information / Armed Robbery,53rd St. between Woodlawn &amp; Kimbark,7/7/16 2:57 AM,7/7/16 2:55 AM,"Unknown suspect, armed with a handgun, took property from a drugstore / No injuries reported / CPD case",CPD,
1,Non Criminal / Damage to Vehicle,6054 S. Drexel,7/7/16 7:43 AM,2/17/16 to 6/14/16 7:00 PM to 7:45 AM,Minor damage noticed on UC owned vehicle / Cause unknown at this time,Closed,16-00575
2,Information / Burglary,54th Pl. near Woodlawn,7/7/16 8:02 AM,7/7/16 2:00 AM to 7:00 AM,Unknown person(s) gained entry to private residence off-campus via unsecured rear window / Took electronics from the residence and car from the garage / CPD case HZ339043,CPD,16-00576
3,Lost Property,5700 S. Maryland (CCD),7/7/16 3:39 PM,6/27/16 to 7/7/16 12:00 PM to 3:30 PM,"Patient reports cash missing from purse, but cannot recall if cash was given to a family member during her stay",Closed,16-00577
4,Information / Traffic Crash,5800 S. Stony Island,7/6/16 8:35 AM,7/6/16 8:35 AM,"UC owned vehicle stopped in traffic was rear-ended by another vehicle / Property damage only, no injuries reported / 2016-MVA00103",Closed,16-00569
5,Information / Forged Prescription,950 E. 59th St. (Billings Hospital),7/6/16 2:52 PM,6/21/16 7:00 AM to 5:00 PM,Staff member was notified that an unknown person attempted to obtain controlled substance with a forged prescription on N. Michigan Av. / CPD case,CPD,16-00570
6,Harassment by Telephone,5640 S. University (Bartlett Commons),7/6/16 3:26 PM,7/3/16 9:45 AM to 2:55 PM,Individual called victim's phone numerous times looking for an unknown person / Suspect refused to cease calling,Open,16-00571
7,Weapons Violation,5815 S. Maryland (Mitchell Hospital),7/6/16 2:25 PM,7/6/16 2:25 PM,Firearm was found in patient's room / Weapon confiscated / Suspect arrested by UCPD for illegal possession of firearm,Arrest,16-00572
8,Information / Damage to Vehicle,6245 S. Ingleside (Public Way),7/5/16 12:17 AM,7/5/16 12:15 AM,"A bullet, fired by unknown person, struck and damaged the overhead lights on UC owned vehicle off-campus",Closed,16-00562
9,Information / Aggravated Battery,6243 S. Drexel (Alley),7/5/16 12:17 AM,7/5/16 12:15 AM,"Victim, walking in alley off-campus, struck in the face by a shot fired by unknown person / Transported to hospital by CFD EMS / CPD case ",CPD,16-00563
10,Information / Medical Call,Greenwood between 54th &amp; 55th,7/5/16 1:35 AM,7/5/16 1:35 AM,Individual became ill after consuming alcohol and illegal drugs at a private residence off-campus / Transported to ER by CFD EMS,Closed,16-00564
11,Criminal Damage to Property,969 E. 60th St. (Public Way),7/5/16 11:02 AM,7/5/16 10:50 AM,Unknown individual seen breaking side window of unoccupied van parked on the street,Open,16-00565
12,Assist Other Agency / Domestic Battery,5220 S. Drexel (Public Way),7/4/16 5:42 PM,7/4/16 5:42 PM,UCPD officers detained a suspect who had pushed his girlfriend to the ground before fleeing in a car / Suspect arrested by CPD and charged with domestic battery / CPD case HZ335293,CPD,16-00561
13,Found Property,6054 S. Drexel,7/3/16 7:35 AM,7/3/16 7:30 AM,Cash and ear phones found in UC owned vehicle / Inventoried for safekeeping,Closed,16-00560
14,Information /  Shots Fired,Woodlawn between 61st &amp; 62nd,7/3/16 10:02 AM,7/3/16 10:02 AM,"UCPD and CPD officers responded to a call of shots fired off-campus / No injured persons, suspects or property damage found / No crime scene located ",CPD,
15,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1467435600,,,,,,
16,Non-Criminal Property Damage,1150 E. 58th St. (Saieh Hall),7/1/16 12:52 PM,7/1/16 12:52 PM,"The letter ""S"" in Saieh Hall sign on rear of building is damaged / Cause unknown",Closed,16-00556
17,Traffic Crash,940 E. 57th St.,7/1/16 12:53 PM,7/1/16 12:50 PM,Parked UC owned vehicle sideswiped by another vehicle / Property damage only / No injuries reported / MVA00102,Closed,16-00557
